X,Y,ObjectId,AQSID,CountryCode,DataSource,EPARegion,Elevation,GMTOffset,Latitude,LocalTimeString,Longitude,OZONE,OZONEPM_AQI,OZONEPM_AQI_LABEL,OZONEPM_AQI_SORT,OZONE_AQI,OZONE_AQI_LABEL,OZONE_AQI_SORT,OZONE_Measured,OZONE_Unit,PM10,PM10_AQI,PM10_AQI_LABEL,PM10_AQI_SORT,PM10_Measured,PM10_Unit,PM25,PM25_AQI,PM25_AQI_LABEL,PM25_AQI_SORT,PM25_Measured,PM25_Unit,PM_AQI,PM_AQI_LABEL,PM_AQI_SORT,ReportingArea_PipeDelimited,SiteName,StateName,Status
-9975027.8754,4966268.6009,10321850,171430024,US,Illinois EPA,R5,0,-6,40.6869,Tue 11/10/2020 05:00 PM CST,-89.6072,,,ND,-999,,ND,-999,1,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,Peoria,PEORIA_F,IL,Active
15695053.5622,5342327.8454,10321851,001203520,,Japan Ministry of Environment,,0,9,43.199111,Wed 11/11/2020 08:00 AM JST,140.991065,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,JPN Site 001203520,,Active
-8154675.9022,5228295.5355,10321852,250030006,US,Massachusetts Dept. of Environmental Protection,R1,0,-5,42.4478,Tue 11/10/2020 06:00 PM EST,-73.2547,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,Pittsfield,PITTSFIELD,MA,Inactive
-8508490.7661,4737433.3695,10321853,240033696,US,Maryland Department of the Environment,R3,0,-5,39.109951,Tue 11/10/2020 06:00 PM EST,-76.433073,,,ND,-999,,ND,-999,1,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,Downs Park,MD,Inactive
-9128231.6409,3241411.2662,10321854,121056005,US,Florida Dept. of Environmental Protection,R4,0,-5,27.94,Tue 11/10/2020 06:00 PM EST,-82.0003,25,23,23,23,23,23,23,1,PPB,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,Lakeland,Sikes Elementary School,FL,Active
-9125070.1674,3252680.9629,10321855,121056006,US,Florida Dept. of Environmental Protection,R4,0,-5,28.0294,Tue 11/10/2020 06:00 PM EST,-81.9719,21,26,26,26,20,20,20,1,PPB,22.3,19.0,19,19,1,UG/M3,7.2,26,26,26,1,UG/M3,26,26,26,Lakeland,Fl. Baptist Children's Home,FL,Active
-10042966.1606,7255730.9074,10321856,000065901,CA,Canadian Air and Precipitation Monitoring Network,CA,370,-5,54.4494,Tue 11/10/2020 05:00 PM CST,-90.2175,,25,25,25,25,25,25,1,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,Pickle Lake,CC,Active
15249783.2801,4416712.2495,10321857,016205180,,Japan Ministry of Environment,,0,9,36.839166,Wed 11/11/2020 08:00 AM JST,136.991134,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,JPN Site 016205180,,Active
-8941949.271,2947944.2133,10321858,120860029,US,Florida Dept. of Environmental Protection,R4,1.2,-5,25.586399,Tue 11/10/2020 06:00 PM EST,-80.326897,,,ND,-999,,ND,-999,1,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,Miami,Perdue,FL,Active
-13606603.8462,6005324.8767,10321859,530332004,US,Washington Department of Ecology,R10,12.8,-8,47.386101,Tue 11/10/2020 03:00 PM PST,-122.230202,,31,31,31,,ND,-999,0,,,,ND,-999,0,,9,31,31,31,1,UG/M3,31,31,31,Seattle-Bellevue-Kent Valley,Kent-James & Central,WA,Active
-8923615.3962,2965987.4674,10321860,120860027,US,Florida Dept. of Environmental Protection,R4,0.6,-5,25.7325,Tue 11/10/2020 06:00 PM EST,-80.162201,,26,26,26,26,26,26,1,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,City of North Miami|Miami,Rosenstiel,FL,Active
-9368837.5883,3953146.2859,10321861,131510002,US,Georgia Department of Natural Resources,R4,0,-5,33.4347,Tue 11/10/2020 06:00 PM EST,-84.1617,,23,23,23,,ND,-999,1,,,,ND,-999,0,,6.1,23,23,23,1,UG/M3,23,23,23,Atlanta,McDonough,GA,Active
14512988.0683,3971907.6741,10321862,040135520,,Japan Ministry of Environment,,0,9,33.575232,Wed 11/11/2020 08:00 AM JST,130.37239,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,JPN Site 040135520,AZ,Active
15396621.0355,4390978.3846,10321863,020207010,,Japan Ministry of Environment,,0,9,36.653931,Wed 11/11/2020 08:00 AM JST,138.3102,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,JPN Site 020207010,AK,Active
15596283.6742,4822847.9438,10321864,005201530,,Japan Ministry of Environment,,0,9,39.702803,Wed 11/11/2020 08:00 AM JST,140.1038,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,JPN Site 005201530,,Active
-7853178.1933,5551172.9208,10321865,230172011,US,Maine Dept. of Environmental Protection,R1,134.8,-5,44.5514,Tue 11/10/2020 06:00 PM EST,-70.5463,,35,35,35,,ND,-999,0,,,,ND,-999,0,,7,35,35,35,1,UG/M3,35,35,35,Western Mountains,Rumford,ME,Active
14667768.5807,4039016.5129,10321866,035214020,,Japan Ministry of Environment,,0,9,34.076037,Wed 11/11/2020 08:00 AM JST,131.762807,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,JPN Site 035214020,,Active
14891128.9126,4097365.7305,10321867,033202070,,Japan Ministry of Environment,,0,9,34.509081,Wed 11/11/2020 08:00 AM JST,133.769287,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,JPN Site 033202070,,Active
-13591291.6276,4904098.9811,10321868,061030004,US,California Air Resources Board,R9,562.1,-8,40.26207,Tue 11/10/2020 03:00 PM PST,-122.09265,,,ND,-999,,ND,-999,1,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,Tuscan Butte (Seasonal),CA,Active
-12086946.5231,5351375.4865,10321869,560130900,US,Wyoming Department of Environmental Quality,R8,1632.1,-7,43.258331,Tue 11/10/2020 04:00 PM MST,-108.578888,,,ND,-999,,ND,-999,1,,,,ND,-999,1,,,,ND,-999,1,,,ND,-999,,Pavillion,WY,Inactive
